
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000848                       # Number of seconds simulated (Second)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.avgMshrMissLatency::processor.cores0.core.data  9080.341463                       # average SwapReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.avgMshrMissLatency::total  9080.341463                       # average SwapReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.hits::processor.cores0.core.data       160649                       # number of WriteReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.hits::total       160649                       # number of WriteReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.misses::processor.cores0.core.data        22304                       # number of WriteReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.misses::total        22304                       # number of WriteReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.missLatency::processor.cores0.core.data    311261427                       # number of WriteReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.missLatency::total    311261427                       # number of WriteReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.accesses::processor.cores0.core.data       182953                       # number of WriteReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.accesses::total       182953                       # number of WriteReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.missRate::processor.cores0.core.data     0.121911                       # miss rate for WriteReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.missRate::total     0.121911                       # miss rate for WriteReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.avgMissLatency::processor.cores0.core.data 13955.408312                       # average WriteReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.avgMissLatency::total 13955.408312                       # average WriteReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrHits::processor.cores0.core.data         9056                       # number of WriteReq MSHR hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrHits::total         9056                       # number of WriteReq MSHR hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrMisses::processor.cores0.core.data        13248                       # number of WriteReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrMisses::total        13248                       # number of WriteReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrMissLatency::processor.cores0.core.data    218789325                       # number of WriteReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrMissLatency::total    218789325                       # number of WriteReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrMissRate::processor.cores0.core.data     0.072412                       # mshr miss rate for WriteReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.mshrMissRate::total     0.072412                       # mshr miss rate for WriteReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.avgMshrMissLatency::processor.cores0.core.data 16514.894701                       # average WriteReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.WriteReq.avgMshrMissLatency::total 16514.894701                       # average WriteReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.power_state.pwrStateResidencyTicks::UNDEFINED   3626873829                       # Cumulative time (in ticks) in various power states (Tick)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.demandMshrMisses        26095                       # demands not covered by prefetchs (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfIssued         2821                       # number of hwpf issued (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfUnused          163                       # number of HardPF blocks evicted w/o reference (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfUseful          699                       # number of useful prefetch (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfUsefulButMiss           45                       # number of hit on prefetch but cache block is not in an usable state (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.accuracy     0.247784                       # accuracy of the prefetcher (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.coverage     0.026088                       # coverage brought by this prefetcher (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfHitInCache         1933                       # number of prefetches hitting in cache (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfHitInMSHR            3                       # number of prefetches hitting in a MSHR (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfHitInWB            0                       # number of prefetches hit in the Write Buffer (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfLate         1936                       # number of late prefetches (hitting in cache, MSHR or WB) (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfIdentified         2821                       # number of prefetch candidates identified (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfBufferHit            0                       # number of redundant prefetches already in prefetch queue (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfInCache            0                       # number of redundant prefetches already in cache/mshr dropped (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfRemovedDemand            0                       # number of prefetches dropped due to a demand for the same address (Count)
board.cache_hierarchy.clusters0.l1d_cache.prefetcher.pfRemovedFull            0                       # number of prefetches dropped due to prefetch queue size (Count)
